#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
553973.CLOHYLEM_06522	553973.CLOHYLEM_06522	0.0	891.0	COG0015	186801|Clostridia	F	adenylosuccinate lyase	purB	-	4.3.2.2	ko:K01756	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130	M00048,M00049	R01083,R04559	RC00379,RC00444,RC00445	ko00000,ko00001,ko00002,ko01000	-	-	-	ADSL_C,Lyase_1
763435843-stool1_revised_scaffold13751_1_gene1966	537011.PREVCOP_05422	0.0	1165.0	COG1132	976|Bacteroidetes	V	ABC transporter, ATP-binding protein	msbA	-	-	ko:K06147,ko:K11085	ko02010,map02010	-	-	-	ko00000,ko00001,ko01000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
763496533-stool2_revised_C1130836_1_gene41026	97139.C824_05633	8.83e-189	531.0	COG1063	186801|Clostridia	E	Dehydrogenase	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N
763597684-stool1_revised_scaffold65274_2_gene44004	626939.HMPREF9443_00441	4.6e-123	372.0	COG1884,COG2185	909932|Negativicutes	I	Methylmalonyl-CoA mutase	mutB	-	5.4.99.2	ko:K01847	ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200	M00373,M00376,M00741	R00833	RC00395	ko00000,ko00001,ko00002,ko01000	-	-	-	B12-binding,MM_CoA_mutase
763820215-stool1_revised_C751164_1_gene6323	428126.CLOSPI_01569	3.01e-166	465.0	COG0087	526524|Erysipelotrichia	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	rplC	-	-	ko:K02906	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L3
763860675-stool1_revised_scaffold59412_1_gene91082	411490.ANACAC_00470	7.5e-122	355.0	COG2086	186801|Clostridia	C	electron transfer flavoprotein	etfB	-	-	ko:K03521	-	-	-	-	ko00000	-	-	-	ETF
763901136-stool1_revised_C1052885_1_gene40766	742765.HMPREF9457_03338	7.57e-42	138.0		186801|Clostridia	S	selenoprotein B, glycine betaine sarcosine D-proline reductase	-	-	1.21.4.2	ko:K10672	-	-	-	-	ko00000,ko01000	-	-	-	-
764042746-stool2_revised_C474634_1_gene25976	1042376.AFPK01000074_gene2327	4.32e-59	183.0	COG0051	976|Bacteroidetes	J	Ribosomal protein S10p/S20e	rpsJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02946	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S10
764062976-stool1_revised_scaffold25359_1_gene47430	742722.HMPREF9463_00057	2.73e-263	723.0	COG0150	84998|Coriobacteriia	F	Phosphoribosylformylglycinamidine cyclo-ligase	purM	-	6.3.3.1	ko:K01933	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04208	RC01100	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
764143897-stool1_revised_C800416_1_gene139564	556261.HMPREF0240_02758	1.31e-55	196.0	COG0046,COG0047	186801|Clostridia	F	phosphoribosylformylglycinamidine synthase	purL	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C,GATase_5
764143897-stool1_revised_scaffold24180_1_gene160122	1280694.AUJQ01000007_gene1080	6.89e-219	608.0	COG0050	186801|Clostridia	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	-	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
764143897-stool1_revised_scaffold27221_1_gene93111	1121115.AXVN01000087_gene4052	0.0	1038.0	COG0446,COG0607	186801|Clostridia	P	Psort location Cytoplasmic, score 9.98	cdr	-	-	-	-	-	-	-	-	-	-	-	DrsE_2,Pyr_redox_2,Pyr_redox_dim,Rhodanese,TusA
765701615-stool1_revised_C1225298_1_gene174302	1232452.BAIB02000008_gene1866	1.72e-102	320.0	COG0574,COG1080	186801|Clostridia	G	Belongs to the PEP-utilizing enzyme family	ppdK	-	2.7.9.1	ko:K01006	ko00620,ko00710,ko00720,ko01100,ko01120,ko01200,map00620,map00710,map00720,map01100,map01120,map01200	M00169,M00171,M00172,M00173	R00206	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000	-	-	-	PEP-utilizers,PEP-utilizers_C,PPDK_N
765701615-stool1_revised_C1367528_1_gene217883	622312.ROSEINA2194_02155	1.4e-132	396.0	COG1344	186801|Clostridia	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	-	-	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_N
765701615-stool1_revised_scaffold47263_3_gene161730	1235797.C816_04081	4.73e-214	598.0	COG1960	186801|Clostridia	I	Psort location Cytoplasmic, score 9.97	bcd	-	1.3.8.1	ko:K00248	ko00071,ko00280,ko00650,ko01100,ko01110,ko01120,ko01200,ko01212,map00071,map00280,map00650,map01100,map01110,map01120,map01200,map01212	-	R01175,R01178,R02661,R03172,R04751	RC00052,RC00068,RC00076,RC00120,RC00148	ko00000,ko00001,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N
809635352-stool1_revised_scaffold40418_1_gene11041	1408422.JHYF01000002_gene2433	2.29e-22	87.4	COG0828	186801|Clostridia	J	Belongs to the bacterial ribosomal protein bS21 family	rpsU	-	-	ko:K02970	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S21
888833.HMPREF9961_1305	888833.HMPREF9421_1411	0.0	5463.0	COG2373,COG2931	91061|Bacilli	Q	the current gene model (or a revised gene model) may contain a frame shift	crpB	-	-	-	-	-	-	-	-	-	-	-	Gram_pos_anchor,YSIRK_signal
BGI-33A_GL0071332	1121098.HMPREF1534_00396	8.71e-197	551.0	COG0016	976|Bacteroidetes	J	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily	pheS	GO:0003674,GO:0003824,GO:0004812,GO:0004826,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.20	ko:K01889	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Phe_tRNA-synt_N,tRNA-synt_2d
DLF003_GL0036465	537011.PREVCOP_05614	6.29e-154	435.0	COG1136	976|Bacteroidetes	V	Part of the ABC transporter complex LolCDE involved in the translocation of lipoproteins, in an ATP-dependent manner	lolD	-	-	ko:K09810	ko02010,map02010	M00255	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.125	-	-	ABC_tran
DLF012_GL0025371	411470.RUMGNA_01214	0.0	971.0	COG5426	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	gnpA	GO:0003674,GO:0003824,GO:0004645,GO:0005975,GO:0008150,GO:0008152,GO:0016740,GO:0016757,GO:0016758,GO:0044238,GO:0050500,GO:0071704	2.4.1.211	ko:K15533	-	-	-	-	ko00000,ko01000	-	-	-	LBP_C,LBP_M,Lact_bio_phlase
DLM003_GL0001559	1262915.BN574_00314	2.88e-138	404.0	COG0427	909932|Negativicutes	C	succinate CoA transferase	scpC	-	2.8.3.18	ko:K18118	ko00020,ko00620,ko00650,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00650,map01100,map01110,map01120,map01130,map01200	M00009,M00011	R10343	RC00012,RC00014	ko00000,ko00001,ko00002,ko01000	-	-	-	AcetylCoA_hyd_C,AcetylCoA_hydro
DLM005_GL0056174	1064535.MELS_1453	0.0	1087.0	COG0443	909932|Negativicutes	O	Heat shock 70 kDa protein	dnaK	-	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	HSP70
DLM007_GL0041666	435590.BVU_1286	7.96e-291	834.0	COG1196,COG1256	976|Bacteroidetes	DN	COG NOG14601 non supervised orthologous group	-	-	-	-	-	-	-	-	-	-	-	-	-
DLM013_GL0037970	742722.HMPREF9463_01681	0.0	1131.0	COG0442	84998|Coriobacteriia	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS	proS	-	6.1.1.15	ko:K01881	ko00970,map00970	M00359,M00360	R03661	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,tRNA-synt_2b,tRNA_edit
DLM018_GL0012508	1504822.CCNO01000011_gene163	4.55e-297	810.0	COG0050	2|Bacteria	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	tuf	GO:0001666,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006950,GO:0008150,GO:0009628,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0019899,GO:0030312,GO:0035375,GO:0036293,GO:0040007,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0070482,GO:0071944	-	ko:K02358	-	-	-	-	ko00000,ko03012,ko03029,ko04147	-	-	-	GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3
DLM019_GL0082439	585543.HMPREF0969_00485	1.81e-240	663.0	COG2885	976|Bacteroidetes	M	OmpA family	-	-	-	ko:K03286	-	-	-	-	ko00000,ko02000	1.B.6	-	-	OMP_b-brl,OmpA
DOM005_GL0004772	449673.BACSTE_01275	2.22e-127	365.0	COG4659	976|Bacteroidetes	C	Part of a membrane complex involved in electron transport	rnfG	-	-	ko:K03612	-	-	-	-	ko00000	-	-	-	FMN_bind
