Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
206672.BL1295	206672.BL1295 [Complete]:-  codon-table.11	206672.BL1295 [Complete]:-  codon-table.11		471		206672.BL1295 [Complete]:-  codon-table.11		7.86	1.0000	0.9990	2	2	1	8	8	7	     0	     0	     0	12M(15.9949)		
340101.Vvad_PD0976	340101.Vvad_PD0976 [Complete]:-  codon-table.11	340101.Vvad_PD0976 [Complete]:-  codon-table.11		545		340101.Vvad_PD0976 [Complete]:-  codon-table.11		4.22	1.0000	0.9990	4	0	2	12	0	5	     0	     0	     0			MH0145_GL0028373
391904.BLIJ_1032	391904.BLIJ_1032 [Complete]:-  codon-table.11	391904.BLIJ_1032 [Complete]:-  codon-table.11		987		391904.BLIJ_1032 [Complete]:-  codon-table.11		4.86	1.0000	0.9990	2	2	2	9	9	9	     0	     0	     0	5M(15.9949)		
411467.BACCAP_01900	411467.BACCAP_01900 [Complete]:-  codon-table.11	411467.BACCAP_01900 [Complete]:-  codon-table.11		989		411467.BACCAP_01900 [Complete]:-  codon-table.11		3.84	1.0000	0.9941	3	3	3	5	5	5	     0	     0	     0	10C(57.0214)		
411903.COLAER_00124	411903.COLAER_00124 [Complete]:-  codon-table.11	411903.COLAER_00124 [Complete]:-  codon-table.11		904		411903.COLAER_00124 [Complete]:-  codon-table.11		2.88	1.0000	0.9952	2	1	2	4	1	4	     0	     0	     0	15M(15.9949)		
445972.ANACOL_04358	445972.ANACOL_04358 [Complete]:-  codon-table.11	445972.ANACOL_04358 [Complete]:-  codon-table.11		347		445972.ANACOL_04358 [Complete]:-  codon-table.11		4.61	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
457421.CBFG_05949	457421.CBFG_05949 [Complete]:-  codon-table.11	457421.CBFG_05949 [Complete]:-  codon-table.11		857		457421.CBFG_05949 [Complete]:-  codon-table.11		4.20	1.0000	0.9990	3	0	3	7	0	7	     0	     0	     0	3M(15.9949), 5M(15.9949)		
467705.SGO_1968	467705.SGO_1968 [Complete]:-  codon-table.11	467705.SGO_1968 [Complete]:-  codon-table.11		164		467705.SGO_1968 [Complete]:-  codon-table.11		20.73	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
469595.CSAG_00404	469595.CSAG_00404 [Complete]:-  codon-table.11	469595.CSAG_00404 [Complete]:-  codon-table.11		142		469595.CSAG_00404 [Complete]:-  codon-table.11		9.15	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
473819.BIFDEN_02183	473819.BIFDEN_02183 [Complete]:-  codon-table.11	473819.BIFDEN_02183 [Complete]:-  codon-table.11		559		473819.BIFDEN_02183 [Complete]:-  codon-table.11		6.98	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0	9M(15.9949)		
553973.CLOHYLEM_06522	553973.CLOHYLEM_06522 [Complete]:-  codon-table.11	553973.CLOHYLEM_06522 [Complete]:-  codon-table.11		459		553973.CLOHYLEM_06522 [Complete]:-  codon-table.11		12.64	1.0000	0.9990	4	2	3	4	2	3	     0	     0	     0	3M(15.9949)		
763435843-stool1_revised_scaffold13751_1_gene1966	763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		642		763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		5.14	1.0000	0.9964	3	3	3	3	3	3	     0	     0	     0	6C(57.0214)		
763496533-stool2_revised_C1130836_1_gene41026	763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		308		763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11		9.74	1.0000	0.9990	2	1	2	18	15	18	     0	     0	     0	4C(57.0214), 6C(57.0214), 7C(57.0214)		
763597684-stool1_revised_scaffold65274_2_gene44004	763597684-stool1_revised_scaffold65274_2_gene44004 strand:-  start:4494 stop:5141 length:648 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	763597684-stool1_revised_scaffold65274_2_gene44004 strand:-  start:4494 stop:5141 length:648 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		215		763597684-stool1_revised_scaffold65274_2_gene44004 strand:-  start:4494 stop:5141 length:648 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		6.51	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
763820215-stool1_revised_C751164_1_gene6323	763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		242		763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		9.50	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	5M(15.9949)		
763860675-stool1_revised_scaffold59412_1_gene91082	763860675-stool1_revised_scaffold59412_1_gene91082 strand:-  start:1518 stop:2303 length:786 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	763860675-stool1_revised_scaffold59412_1_gene91082 strand:-  start:1518 stop:2303 length:786 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		261		763860675-stool1_revised_scaffold59412_1_gene91082 strand:-  start:1518 stop:2303 length:786 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		13.41	1.0000	0.9990	2	2	2	11	11	11	     0	     0	     0	3C(57.0214), 8C(57.0214)		
763901136-stool1_revised_C1052885_1_gene40766	763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		94		763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11		54.26	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	12M(15.9949), 13C(57.0214), 20M(15.9949)		
764042746-stool2_revised_C474634_1_gene25976	764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		101		764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		12.87	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0			MH0252_GL0242851
764062976-stool1_revised_scaffold25359_1_gene47430	764062976-stool1_revised_scaffold25359_1_gene47430 strand:+  start:3758 stop:4960 length:1203 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	764062976-stool1_revised_scaffold25359_1_gene47430 strand:+  start:3758 stop:4960 length:1203 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		400		764062976-stool1_revised_scaffold25359_1_gene47430 strand:+  start:3758 stop:4960 length:1203 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		4.25	1.0000	0.9990	1	1	1	3	3	3	     0	     0	     0	2M(15.9949)		
764143897-stool1_revised_C800416_1_gene139564	764143897-stool1_revised_C800416_1_gene139564 strand:-  start:1 stop:504 length:504 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	764143897-stool1_revised_C800416_1_gene139564 strand:-  start:1 stop:504 length:504 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		168		764143897-stool1_revised_C800416_1_gene139564 strand:-  start:1 stop:504 length:504 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		10.71	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0			DLM013_GL0009111, MH0382_GL0162030
764143897-stool1_revised_scaffold24180_1_gene160122	764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		334		764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		25.45	1.0000	0.9990	6	3	3	43	9	9	     0	     0	     0	8M(15.9949), 9M(15.9949)		
764143897-stool1_revised_scaffold27221_1_gene93111	764143897-stool1_revised_scaffold27221_1_gene93111 strand:+  start:1578 stop:3269 length:1692 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	764143897-stool1_revised_scaffold27221_1_gene93111 strand:+  start:1578 stop:3269 length:1692 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		563		764143897-stool1_revised_scaffold27221_1_gene93111 strand:+  start:1578 stop:3269 length:1692 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		2.66	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
765701615-stool1_revised_C1225298_1_gene174302	765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		169		765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		21.89	1.0000	0.9990	3	2	3	17	13	17	     0	     0	     0	12M(15.9949), 13M(15.9949)		
765701615-stool1_revised_C1367528_1_gene217883	765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		419		765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11		8.35	1.0000	0.9990	3	2	3	7	4	7	     0	     0	     0	1M(15.9949)		
765701615-stool1_revised_scaffold47263_3_gene161730	765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		390		765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		4.36	1.0000	0.9990	1	1	1	6	6	6	     0	     0	     0	4M(15.9949)		
809635352-stool1_revised_scaffold40418_1_gene11041	809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		58		809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11		15.52	1.0000	0.9990	1	0	1	11	0	11	     0	     0	     0			DOF010_GL0006791
888833.HMPREF9961_1305	888833.HMPREF9961_1305 [Complete]:-  codon-table.11	888833.HMPREF9961_1305 [Complete]:-  codon-table.11		3048		888833.HMPREF9961_1305 [Complete]:-  codon-table.11		1.18	1.0000	0.9990	2	0	2	5	0	5	     0	     0	     0	3M(15.9949)		V1.UC3-0_GL0047909
BGI-33A_GL0071332	BGI-33A_GL0071332  [gene]  locus=scaffold48962_1:3:1016:+ [Lack both ends] codon-table.11	BGI-33A_GL0071332  [gene]  locus=scaffold48962_1:3:1016:+ [Lack both ends] codon-table.11		338		BGI-33A_GL0071332  [gene]  locus=scaffold48962_1:3:1016:+ [Lack both ends] codon-table.11		4.44	1.0000	0.9990	1	1	1	4	4	4	     0	     0	     0			
DLF003_GL0036465	DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11	DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11		249		DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11		5.22	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
DLF012_GL0025371	DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11	DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11		725		DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11		13.66	1.0000	0.9990	7	7	7	23	23	23	     0	     0	     0	12M(15.9949), 1C(57.0214)		
DLM003_GL0001559	DLM003_GL0001559  [gene]  locus=scaffold30636_3:2:673:+ [Lack both ends] codon-table.11	DLM003_GL0001559  [gene]  locus=scaffold30636_3:2:673:+ [Lack both ends] codon-table.11		224		DLM003_GL0001559  [gene]  locus=scaffold30636_3:2:673:+ [Lack both ends] codon-table.11		11.61	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
DLM005_GL0056174	DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11	DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11		620		DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11		6.94	1.0000	0.9990	3	2	3	7	3	7	     0	     0	     0	10M(15.9949)		
DLM007_GL0041666	DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11	DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11		884		DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11		4.30	1.0000	0.9990	3	3	3	11	11	11	     0	     0	     0	7M(15.9949)		
DLM013_GL0037970	DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11	DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11		569		DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11		5.27	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0			
DLM018_GL0012508	DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11	DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11		415		DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11		23.61	1.0000	0.9990	6	4	4	24	12	12	     0	     0	     0	5C(57.0214)		
DLM019_GL0082439	DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11	DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11		374		DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11		13.10	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0	12M(15.9949), 6M(15.9949)		
DOM005_GL0004772	DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11	DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11		220		DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11		8.18	1.0000	0.9990	1	0	1	13	0	13	     0	     0	     0			NLF006_GL0033122
DOM005_GL0023957	DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11	DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11		355		DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11		11.83	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	4C(57.0214)		
DOM005_GL0032002	DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11	DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11		632		DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11		4.91	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0			MH0092_GL0032121
DOM005_GL0053327	DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11	DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11		475		DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11		5.89	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	15M(15.9949)		
DOM012_GL0021177	DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11	DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11		358		DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11		12.57	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	11M(15.9949), 24M(15.9949)		
DOM012_GL0033406	DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11	DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11		158		DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11		26.58	1.0000	0.9990	5	3	5	55	49	55	     0	     0	     0			
DOM026_GL0034732	DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11	DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11		323		DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11		12.38	1.0000	0.9990	3	2	2	16	5	5	     0	     0	     0			
ED13A_GL0021636	ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11	ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11		185		ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11		10.81	1.0000	0.9990	2	1	1	16	15	15	     0	     0	     0			
ED15A_GL0082445	ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11	ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11		398		ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11		8.54	1.0000	0.9941	3	2	2	10	3	8	     0	     0	     0			
ED20A_GL0039802	ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11	ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11		257		ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11		14.40	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	14C(57.0214), 3M(15.9949)		
Fungitr.E7NKC5.E7NKC5_YEASO	Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1	Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1		131		Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1		9.92	1.0000	0.9990	1	0	1	29	0	29	     0	     0	     0			Fungitr.E7QFY4.E7QFY4_YEASZ, Human_swiss_sp|P0CG47|UBB_HUMAN, Human_swiss_sp|P0CG48|UBC_HUMAN, Human_swiss_sp|P62979|RS27A_HUMAN, Human_swiss_sp|P62987|RL40_HUMAN
