Protein.Group	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
763982056-stool2_revised_C356624_1_gene39369 strand:+  start:3 stop:662 length:660 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	35196.8	65670.1	NA	65798.1	NA
764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	75860.6	27451.2	9054.82	11278.2	17062.8
764062976-stool1_revised_scaffold25359_1_gene47430 strand:+  start:3758 stop:4960 length:1203 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	12263.6	NA	NA	15589.2	NA
764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	435330	NA	877714	278087	133367
764143897-stool1_revised_scaffold27221_1_gene93111 strand:+  start:1578 stop:3269 length:1692 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	10560.2	NA	NA
764184357-stool1_revised_scaffold9152_1_gene56916 strand:-  start:1526 stop:3733 length:2208 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	55443.5	88563.6	37860.5	15628.7	2131.41
764224817-stool1_revised_scaffold16937_1_gene50029 strand:+  start:310 stop:1809 length:1500 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	NA	22612.3	NA
764487809-stool2_revised_scaffold53060_2_gene28846 strand:+  start:3 stop:3431 length:3429 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	10299.5	NA	6104.44	4890.15	NA
764669880-stool1_revised_C437453_1_gene44917 strand:-  start:872 stop:1504 length:633 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	86109.5	23819.9	61275.8	NA	5230.17
764669880-stool1_revised_scaffold9976_1_gene9843 strand:-  start:1 stop:1269 length:1269 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	74700.4	22801.4	60467.7	13700.3	NA
764669880-stool2_revised_scaffold12597_1_gene66287 strand:+  start:2 stop:1603 length:1602 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	15322	NA	NA	299232
765640925-stool1_revised_scaffold31945_1_gene3427 strand:+  start:6373 stop:8160 length:1788 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	NA	NA	1250.85
765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	32578	11377.8	45405.5	55312.7	9761.04
765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	6593.65	NA	NA	NA	NA
765701615-stool1_revised_C1367806_1_gene31727 strand:-  start:2 stop:427 length:426 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	6440.95	NA	9165.24	NA	NA
765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	58203.2	45416.5	29915.5	35973.2	NA
809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	36927.1	15230.2	34451.4	21995	7516.04
871237.SIN_0727 [Complete]:-  codon-table.11	NA	NA	NA	11117.1	NA
871237.SIN_1256 [Complete]:-  codon-table.11	NA	NA	NA	10288.6	NA
888833.HMPREF9961_1305 [Complete]:-  codon-table.11	NA	NA	NA	11317.2	NA
888833.HMPREF9961_1681 [Complete]:-  codon-table.11	NA	NA	NA	5453.86	NA
DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11	47753.3	38575.1	10662.6	19767.6	NA
DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11	18803.6	7619.75	45518.1	15656.3	9514.17
DLM003_GL0001559  [gene]  locus=scaffold30636_3:2:673:+ [Lack both ends] codon-table.11	20481.4	NA	NA	NA	NA
DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11	NA	18910.5	NA	NA	9502.6
DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11	7526.6	8608.9	23808	NA	51664.7
DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11	20357.8	14215.5	NA	33278.5	NA
DLM013_GL0044983  [gene]  locus=scaffold40429_3:1349:2581:+ [Complete] codon-table.11	405726	NA	NA	NA	NA
DLM014_GL0001646  [gene]  locus=scaffold9222_3:9675:10187:+ [Lack 3'-end] codon-table.11	NA	NA	NA	27449.1	NA
DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11	296104	441839	87201.9	431585	4465.28
DLM019_GL0031527  [gene]  locus=scaffold54244_3:2:925:- [Lack both ends] codon-table.11	8661.36	NA	NA	NA	5573.43
DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11	11885	NA	4459.84	NA	4229.09
DLM028_GL0028479  [gene]  locus=scaffold20071_11:2762:3109:- [Complete] codon-table.11	NA	12533.7	NA	NA	NA
DOF004_GL0058872  [gene]  locus=scaffold49544_1:1:570:+ [Lack both ends] codon-table.11	6049.16	9369.11	NA	NA	NA
DOF010_GL0010114  [gene]  locus=scaffold25322_5:1:1146:+ [Lack 5'-end] codon-table.11	9924.28	20965.4	NA	15122.2	7145.39
DOM001_GL0092950  [gene]  locus=scaffold34794_8:3510:4757:+ [Complete] codon-table.11	6299.2	8050.77	NA	6894.93	NA
DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11	5412.34	NA	7550.15	NA	1633.42
DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11	25062.8	15279.5	8111.6	NA	18170.9
DOM005_GL0025443  [gene]  locus=scaffold37_7:31881:33218:- [Complete] codon-table.11	11360.9	11572.3	9558.43	8957.29	34783.5
DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11	45849.3	18371.1	12924	NA	17378.5
DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11	NA	NA	7081.56	11468.7	5778.51
DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11	58587.2	14481	6892.01	13954.4	NA
DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11	379672	282498	310199	480895	NA
DOM012_GL0066649  [gene]  locus=scaffold8378_5:449:1210:- [Complete] codon-table.11	4927.68	NA	NA	NA	NA
DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11	73618.8	126562	19459.6	76368	20730.9
ED12A_GL0077137  [gene]  locus=scaffold32507_3:423:572:+ [Lack 3'-end] codon-table.11	70487.4	NA	33247.2	22776.8	NA
ED12A_GL0087188  [gene]  locus=scaffold16704_2:1702:3696:- [Lack 5'-end] codon-table.11	9441.64	6276.95	NA	6751.16	NA
ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11	148215	89587.8	69884.8	444614	14010.3
ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11	43581.8	44563.8	59106.5	36417.1	11621
ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11	27093.6	NA	53984.9	34370	NA
Fungitr.A0A0H5C9W2.A0A0H5C9W2_CYBJA ATP synthase subunit alpha OS=Cyberlindnera jadinii GN=atp1 PE=3 SV=1	NA	47740.8	38002.9	54131.3	23973
Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1	NA	34367.6	NA	28262.8	46751.2
HM403CO_revised_scaffold116_1_gene33180 strand:- start:8813 stop:9595 length:783 start_codon:yes stop_codon:yes gene_type:complete	3666.97	NA	10520.9	4867.3	NA
HM403CO_revised_scaffold142_2_gene34425 strand:+ start:8041 stop:9432 length:1392 start_codon:yes stop_codon:yes gene_type:complete	53733.9	58527.1	56907.7	66860.7	31257.7
HM403CO_revised_scaffold3899_2_gene43346 strand:+ start:26519 stop:27742 length:1224 start_codon:yes stop_codon:yes gene_type:complete	194404	164836	194646	160768	9194.38
HM414CO_combine_revised_scaffold52574_1_gene54100 strand:+ start:3 stop:368 length:366 start_codon:no stop_codon:yes gene_type:incomplete	NA	NA	NA	NA	16745.7
HM415TI_revised_scaffold27291_1_gene77074 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	18315.3	NA	10095.7	59635.1	7985.55
HM437CO_revised_scaffold23842_1_gene88996 strand:+ start:5906 stop:7864 length:1959 start_codon:yes stop_codon:yes gene_type:complete	27057.2	22852.8	6635.54	12199.2	NA
HM437CO_revised_scaffold36926_1_gene1102 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	15979.6	18087.3	27574.8	18074.7	6145.8
HM438CO_revised_scaffold45904_1_gene74669 strand:+ start:2 stop:520 length:519 start_codon:no stop_codon:no gene_type:incomplete	852457	887534	238881	680526	20076.6
HM466CO_revised_scaffold71503_1_gene21138 strand:+ start:1 stop:1050 length:1050 start_codon:no stop_codon:yes gene_type:incomplete	22388.4	39758.2	NA	29806.1	NA
HM494TI_revised_C961297_1_gene41203 strand:+ start:307 stop:522 length:216 start_codon:yes stop_codon:no gene_type:incomplete	28320.3	149882	26503.3	45181	10642
HM494TI_revised_scaffold22508_12_gene231958 strand:+ start:2 stop:1507 length:1506 start_codon:no stop_codon:yes gene_type:incomplete	2997.66	NA	NA	NA	6837.85
HM494TI_revised_scaffold67459_1_gene54744 strand:- start:46703 stop:47572 length:870 start_codon:yes stop_codon:yes gene_type:complete	NA	NA	7075.96	NA	2612.89
HM494TI_revised_scaffold75696_1_gene174760 strand:+ start:1 stop:648 length:648 start_codon:no stop_codon:yes gene_type:incomplete	5123.26	NA	4806	5860.56	6958.15
HT14A_GL0085213  [gene]  locus=scaffold26776_1:2:367:+ [Lack 5'-end] codon-table.11	83623.5	22258.4	84170.8	33054.2	11423.5
HT14A_GL0104544  [gene]  locus=scaffold8377_7:1:2925:+ [Lack both ends] codon-table.11	59734.8	38034.9	49573.2	36415.5	NA
HT14A_GL0106378  [gene]  locus=scaffold24973_3:20944:21483:- [Complete] codon-table.11	124905	45530.7	239797	120873	188425
HT14A_GL0126877  [gene]  locus=scaffold30044_2:2:565:- [Lack both ends] codon-table.11	5917.87	NA	10827.4	NA	4745.74
HT8A_GL0051954  [gene]  locus=scaffold34690_1:16107:16964:- [Complete] codon-table.11	11004.2	13962.6	NA	21191.7	NA
Human_swiss_sp|A0A075B6H9|LV469_HUMAN Immunoglobulin lambda variable 4-69 OS=Homo sapiens OX=9606 GN=IGLV4-69 PE=1 SV=1	NA	NA	3554.78	NA	NA
Human_swiss_sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1	8445.74	32484	44735.9	18630.6	87079
Human_swiss_sp|A0A0B4J1V0|HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1	NA	14430	11568.1	NA	24864.5
Human_swiss_sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1	NA	6535.58	2524.18	NA	7149.92
Human_swiss_sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1	NA	NA	NA	NA	802629
Human_swiss_sp|A0A0C4DH25|KVD20_HUMAN Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	26565.3	120900	58613.1	43642.6	265133
Human_swiss_sp|A0A0C4DH32|HV320_HUMAN Immunoglobulin heavy variable 3-20 OS=Homo sapiens OX=9606 GN=IGHV3-20 PE=3 SV=2	NA	NA	NA	NA	27650.1
Human_swiss_sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	3628.77	NA	NA	NA	NA
Human_swiss_sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3	271818	225551	398658	586356	1.57471e+06
Human_swiss_sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	3614.26	NA	33845.9	25509.7	NA
Human_swiss_sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	13193.8	18532.3	12085	14548.7	11982.1
Human_swiss_sp|O14493|CLD4_HUMAN Claudin-4 OS=Homo sapiens OX=9606 GN=CLDN4 PE=1 SV=1	13324.4	20178.5	20802.6	NA	41700.1
Human_swiss_sp|O14638|ENPP3_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Homo sapiens OX=9606 GN=ENPP3 PE=1 SV=2	12425.1	19551.9	19805.3	16708.2	24113.2
Human_swiss_sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	4817.75	6327.88	6504.33	5450.93	3745.24
Human_swiss_sp|O15162|PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	1461.94	5353.55	2724.91	3039.69	5050.59
Human_swiss_sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	28919.5	13189.3	7591.06	5189.21	8359.06
Human_swiss_sp|O15263|DFB4A_HUMAN Beta-defensin 4A OS=Homo sapiens OX=9606 GN=DEFB4A PE=1 SV=1	NA	NA	13417.6	NA	NA
Human_swiss_sp|O15393|TMPS2_HUMAN Transmembrane protease serine 2 OS=Homo sapiens OX=9606 GN=TMPRSS2 PE=1 SV=3	NA	6052.02	NA	4387.15	5135.68
Human_swiss_sp|O15484|CAN5_HUMAN Calpain-5 OS=Homo sapiens OX=9606 GN=CAPN5 PE=1 SV=2	4973.91	12997.7	5606.38	7386.35	12296.1
Human_swiss_sp|O15496|PA2GX_HUMAN Group 10 secretory phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G10 PE=1 SV=3	NA	5844.08	5983.8	NA	3027.35
Human_swiss_sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6	NA	8509.2	NA	NA	4316.76
Human_swiss_sp|O43451|MGA_HUMAN Maltase-glucoamylase, intestinal OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=5	213837	230694	153106	84378.9	134547
Human_swiss_sp|O43653|PSCA_HUMAN Prostate stem cell antigen OS=Homo sapiens OX=9606 GN=PSCA PE=1 SV=2	3411.64	2455.51	NA	NA	NA
Human_swiss_sp|O43895|XPP2_HUMAN Xaa-Pro aminopeptidase 2 OS=Homo sapiens OX=9606 GN=XPNPEP2 PE=1 SV=3	573763	412728	447675	683020	1.87029e+06
Human_swiss_sp|O60814|H2B1K_HUMAN Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3	7705.58	12034.9	NA	5135.63	2980.94
Human_swiss_sp|O60844|ZG16_HUMAN Zymogen granule membrane protein 16 OS=Homo sapiens OX=9606 GN=ZG16 PE=1 SV=2	638237	987102	705751	940787	562017
Human_swiss_sp|O75112|LDB3_HUMAN LIM domain-binding protein 3 OS=Homo sapiens OX=9606 GN=LDB3 PE=1 SV=2	9467.66	10105.8	NA	7348.28	14720.1
Human_swiss_sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1	NA	NA	NA	NA	7744.89
Human_swiss_sp|O75306|NDUS2_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2	1858.08	NA	NA	2788.98	2099.42
Human_swiss_sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1	NA	NA	NA	NA	16352.4
Human_swiss_sp|O75830|SPI2_HUMAN Serpin I2 OS=Homo sapiens OX=9606 GN=SERPINI2 PE=1 SV=1	13557.3	NA	NA	NA	5011.41
Human_swiss_sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2	NA	NA	NA	NA	766.868
Human_swiss_sp|O75882|ATRN_HUMAN Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2	7170.56	10399.9	12641.3	6942.07	7405.64
Human_swiss_sp|O95471|CLD7_HUMAN Claudin-7 OS=Homo sapiens OX=9606 GN=CLDN7 PE=1 SV=4	5268.88	8305.07	7999.41	3614.03	13217.3
Human_swiss_sp|O95497|VNN1_HUMAN Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2	3482.92	28095.8	3091.43	9160.1	70315.8
Human_swiss_sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	NA	NA	NA	NA	2664.47
Human_swiss_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	NA	NA	NA	9079.13	10156
Human_swiss_sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1	NA	7126.73	3475.01	20765.7	NA
Human_swiss_sp|P00813|ADA_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3	36215.4	34431.1	24175	NA	24628.1
