Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
158802708-stool1_revised_C965053_1_gene16763 strand:-  start:3 stop:404 length:402 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	5135.45	4341.34	3514.08	NA	NA	NA	NA
158802708-stool1_revised_C968191_1_gene1204 strand:-  start:1 stop:1314 length:1314 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	24268.7	46630.4	20262.4	11548.9	23466.4	32184.9	24796.2
158802708-stool1_revised_scaffold20802_1_gene152869 strand:-  start:2 stop:973 length:972 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	79057.2	182143	39370.2	410980	274999	37743.5	131965
158944319-stool1_revised_C1050747_1_gene52747 strand:+  start:2 stop:1078 length:1077 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	NA	NA	7753.02	NA	NA	NA
159207311-stool2_revised_scaffold1962_1_gene150337 strand:+  start:3 stop:347 length:345 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	25043.9	45225.1	15914.7	17189.9	31629.4	9167.8	21937.4
159369152-stool1_revised_C218669_1_gene6717 strand:+  start:3 stop:848 length:846 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	20915.6	10673.2	32799.4	10390.9	12274.7	NA	14734.7
159632143-stool1_revised_scaffold14390_1_gene87151 strand:+  start:393 stop:1688 length:1296 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	26871.7	36092	NA	27406.4	NA	13635
159814214-stool1_revised_C570103_1_gene1164 strand:-  start:24 stop:860 length:837 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	9648.46	20583.4	12329.2	12520.2	4481.08	10990.7
160400887-stool1_revised_scaffold28677_2_gene32473 strand:+  start:10797 stop:12230 length:1434 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	34916.7	107858	199726	35490.4	93562.8	NA	21077
160502038-stool1_revised_C1040582_1_gene113012 strand:+  start:3 stop:941 length:939 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	NA	9963.9	76558.9	17567.4	20358.7	11597.3	20516.3
160603188-stool1_revised_C1017314_1_gene151369 strand:+  start:1 stop:2223 length:2223 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	51854.1	19379.6	NA	18824.1	NA	21653.4	61628.4
160704339-stool1_revised_C1363641_1_gene142089 strand:+  start:3 stop:1241 length:1239 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	15962.7	17901.8	NA	20205.1	NA	NA	NA
195103.CPF_1048 [Complete]:-  codon-table.11	385942	321830	82378.3	584784	425663	376146	315029
206672.BL1295 [Complete]:-  codon-table.11	NA	NA	4894.14	NA	NA	4776.7	4773.48
226186.BT_3312 [Complete]:-  codon-table.11	NA	NA	NA	NA	NA	8943.13	NA
340101.Vvad_PD0976 [Complete]:-  codon-table.11	17624.8	11848.3	19077.2	10347	34576.2	NA	14933.2
391904.BLIJ_1032 [Complete]:-  codon-table.11	NA	NA	6767.77	5332.57	NA	6187.87	NA
411467.BACCAP_01900 [Complete]:-  codon-table.11	NA	17867.5	NA	11144	NA	NA	NA
411467.BACCAP_02296 [Complete]:-  codon-table.11	NA	NA	NA	NA	10463.4	NA	NA
411470.RUMGNA_02682 [Complete]:-  codon-table.11	15309.4	25075.3	NA	28210.3	16510.9	49423.8	17999.3
435842.HMPREF0848_00803 [Complete]:-  codon-table.11	NA	NA	NA	NA	25343.4	NA	NA
445972.ANACOL_04358 [Complete]:-  codon-table.11	29041.3	20266.8	24010.8	33971.5	50726.1	NA	25129.6
457421.CBFG_02424 [Complete]:-  codon-table.11	NA	12642.3	NA	NA	NA	NA	NA
457421.CBFG_05949 [Complete]:-  codon-table.11	74412.5	104539	68828	77450.7	92188.4	29399.6	53752.8
467705.SGO_1968 [Complete]:-  codon-table.11	42074.5	50404.2	28082.3	23103.6	483069	21393	50989.5
469595.CSAG_00404 [Complete]:-  codon-table.11	NA	NA	39644.7	NA	NA	NA	NA
473819.BIFDEN_02183 [Complete]:-  codon-table.11	17388.6	NA	63055	23727.9	25287.2	17544.7	31264
483218.BACPEC_02137 [Complete]:-  codon-table.11	NA	NA	NA	NA	4623.81	1872.01	1655.88
500635.MITSMUL_03099 [Complete]:-  codon-table.11	13665.1	29686.8	33911.9	18967.3	17514.7	NA	9098.87
508703490-stool1_revised_scaffold22466_1_gene94327 strand:-  start:214 stop:1548 length:1335 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	25913.5	30857.5	20627.5	32145.2	31550	2377.29	24943.2
553973.CLOHYLEM_06522 [Complete]:-  codon-table.11	NA	5753.57	6424.39	5172.74	7772.49	NA	3240.12
556261.HMPREF0240_01134 [Complete]:-  codon-table.11	NA	NA	NA	14670.4	NA	NA	NA
575611.HMPREF0649_00752 [Complete]:-  codon-table.11	NA	8209.4	9870.37	NA	6185.24	NA	NA
575611.HMPREF0649_01290 [Complete]:-  codon-table.11	2427.42	4935.37	NA	NA	3431.99	NA	NA
585501.HMPREF6123_1051 [Complete]:-  codon-table.11	67366.5	35460.1	10838.8	76785	44140.6	17409.7	52851.4
591001.Acfer_1512 [Complete]:-  codon-table.11	21592.5	25139.1	33293.9	NA	18642.2	9900.08	17580.8
638301.HMPREF0444_1482 [Complete]:-  codon-table.11	NA	16961.3	8269.21	16229.9	14876.4	NA	8848.46
667015.Bacsa_0163 [Complete]:-  codon-table.11	NA	22248.5	NA	10078.4	NA	NA	17152.2
709991.Odosp_2868 [Complete]:-  codon-table.11	NA	18122.4	NA	7864.55	16900.8	NA	NA
763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	14693.2	33870.2	11957	NA	12540.2	NA	5069.4
763496533-stool1_revised_scaffold46255_1_gene47264 strand:-  start:265 stop:795 length:531 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	2266.45	2038.67	NA	3570.74	NA	NA
763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	29008.6	152567	55767.2	231017	111677	53859.7	57600.5
763577454-stool1_revised_C1011481_1_gene183717 strand:-  start:311 stop:727 length:417 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	37229.7	178019	46051.1	347719	164807	57701.7	60246.7
763678604-stool2_revised_C1156166_1_gene163714 strand:-  start:3145 stop:4878 length:1734 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	22965.9	37031.7	26963.5	23621.5	7519.66	19736.9
763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	22313.2	6410.81	NA	15995.7	20345.1	19221.8	17777.8
763860675-stool1_revised_C1092989_1_gene136767 strand:+  start:471 stop:788 length:318 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	12279.2	42888.1	12714.2	68755.2	29624.4	7318.08	10442.1
763860675-stool1_revised_scaffold55788_1_gene56140 strand:-  start:2 stop:1066 length:1065 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	10632.4	36110.1	39899.3	20678.5	36984.6	NA	17281.3
763860675-stool1_revised_scaffold59412_1_gene91082 strand:-  start:1518 stop:2303 length:786 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	5691.68	NA	2712.71	4248.64	NA	2877.09
763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	6576.52	32909.8	5066.79	53658.2	35443.8	NA	15087.7
763901136-stool1_revised_scaffold7024_1_gene95821 strand:-  start:3 stop:1289 length:1287 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	NA	14388.9	NA	NA	14385.8	NA	NA
763982056-stool2_revised_C356624_1_gene39369 strand:+  start:3 stop:662 length:660 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	NA	35196.8	65670.1	NA	65798.1	NA	NA
764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	30145.6	75860.6	27451.2	9054.82	11278.2	17062.8	27181.1
764062976-stool1_revised_scaffold25359_1_gene47430 strand:+  start:3758 stop:4960 length:1203 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	12263.6	NA	NA	15589.2	NA	NA
764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	648785	435330	NA	877714	278087	133367	284018
764143897-stool1_revised_scaffold27221_1_gene93111 strand:+  start:1578 stop:3269 length:1692 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	NA	10560.2	NA	NA	NA
764184357-stool1_revised_scaffold9152_1_gene56916 strand:-  start:1526 stop:3733 length:2208 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	32621.8	55443.5	88563.6	37860.5	15628.7	2131.41	40148.1
764224817-stool1_revised_scaffold16937_1_gene50029 strand:+  start:310 stop:1809 length:1500 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	NA	NA	22612.3	NA	NA
764487809-stool2_revised_scaffold53060_2_gene28846 strand:+  start:3 stop:3431 length:3429 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	10299.5	NA	6104.44	4890.15	NA	3857.02
764669880-stool1_revised_C437453_1_gene44917 strand:-  start:872 stop:1504 length:633 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	41589.8	86109.5	23819.9	61275.8	NA	5230.17	19269.1
764669880-stool1_revised_scaffold9976_1_gene9843 strand:-  start:1 stop:1269 length:1269 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	NA	74700.4	22801.4	60467.7	13700.3	NA	9545.72
764669880-stool2_revised_scaffold12597_1_gene66287 strand:+  start:2 stop:1603 length:1602 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	NA	NA	15322	NA	NA	299232	5816.11
765640925-stool1_revised_scaffold31945_1_gene3427 strand:+  start:6373 stop:8160 length:1788 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	NA	NA	NA	NA	1250.85	NA
765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	28674	32578	11377.8	45405.5	55312.7	9761.04	20228.7
765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	16080.8	6593.65	NA	NA	NA	NA	51438.9
765701615-stool1_revised_C1367806_1_gene31727 strand:-  start:2 stop:427 length:426 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	10411.1	6440.95	NA	9165.24	NA	NA	2686.13
765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	39404.9	58203.2	45416.5	29915.5	35973.2	NA	31859.7
809635352-stool1_revised_scaffold40418_1_gene11041 strand:-  start:39 stop:215 length:177 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	NA	36927.1	15230.2	34451.4	21995	7516.04	8839.65
871237.SIN_0727 [Complete]:-  codon-table.11	NA	NA	NA	NA	11117.1	NA	NA
871237.SIN_1256 [Complete]:-  codon-table.11	NA	NA	NA	NA	10288.6	NA	NA
888833.HMPREF9961_1305 [Complete]:-  codon-table.11	NA	NA	NA	NA	11317.2	NA	NA
888833.HMPREF9961_1681 [Complete]:-  codon-table.11	NA	NA	NA	NA	5453.86	NA	NA
DLF003_GL0036465  [gene]  locus=scaffold38582_1:16325:17074:+ [Complete] codon-table.11	NA	47753.3	38575.1	10662.6	19767.6	NA	5555.59
DLF012_GL0025371  [gene]  locus=scaffold6031_3:80:2257:- [Complete] codon-table.11	NA	18803.6	7619.75	45518.1	15656.3	9514.17	9975.64
DLM003_GL0001559  [gene]  locus=scaffold30636_3:2:673:+ [Lack both ends] codon-table.11	NA	20481.4	NA	NA	NA	NA	17915.2
DLM005_GL0056174  [gene]  locus=scaffold34642_5:1017:2879:- [Complete] codon-table.11	NA	NA	18910.5	NA	NA	9502.6	NA
DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11	31168.3	7526.6	8608.9	23808	NA	51664.7	64428.7
DLM013_GL0037970  [gene]  locus=scaffold10749_9:3302:5011:+ [Complete] codon-table.11	NA	20357.8	14215.5	NA	33278.5	NA	14962.9
DLM013_GL0044983  [gene]  locus=scaffold40429_3:1349:2581:+ [Complete] codon-table.11	54684.7	405726	NA	NA	NA	NA	55020.3
DLM014_GL0001646  [gene]  locus=scaffold9222_3:9675:10187:+ [Lack 3'-end] codon-table.11	NA	NA	NA	NA	27449.1	NA	NA
DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11	105372	296104	441839	87201.9	431585	4465.28	233058
DLM019_GL0031527  [gene]  locus=scaffold54244_3:2:925:- [Lack both ends] codon-table.11	NA	8661.36	NA	NA	NA	5573.43	NA
DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11	24129.5	11885	NA	4459.84	NA	4229.09	13086
DLM028_GL0028479  [gene]  locus=scaffold20071_11:2762:3109:- [Complete] codon-table.11	NA	NA	12533.7	NA	NA	NA	NA
DOF004_GL0058872  [gene]  locus=scaffold49544_1:1:570:+ [Lack both ends] codon-table.11	NA	6049.16	9369.11	NA	NA	NA	NA
DOF010_GL0010114  [gene]  locus=scaffold25322_5:1:1146:+ [Lack 5'-end] codon-table.11	10653	9924.28	20965.4	NA	15122.2	7145.39	NA
DOM001_GL0092950  [gene]  locus=scaffold34794_8:3510:4757:+ [Complete] codon-table.11	10952.5	6299.2	8050.77	NA	6894.93	NA	7397.71
DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11	7807.54	5412.34	NA	7550.15	NA	1633.42	11853.8
DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11	15866.2	25062.8	15279.5	8111.6	NA	18170.9	27258.2
DOM005_GL0025443  [gene]  locus=scaffold37_7:31881:33218:- [Complete] codon-table.11	NA	11360.9	11572.3	9558.43	8957.29	34783.5	41816.6
DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11	22476.2	45849.3	18371.1	12924	NA	17378.5	27083.1
DOM005_GL0053327  [gene]  locus=scaffold12590_2:58532:59959:+ [Complete] codon-table.11	NA	NA	NA	7081.56	11468.7	5778.51	NA
DOM012_GL0021177  [gene]  locus=scaffold10320_21:1963:3039:+ [Complete] codon-table.11	NA	58587.2	14481	6892.01	13954.4	NA	5890.83
DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11	414277	379672	282498	310199	480895	NA	304416
DOM012_GL0066649  [gene]  locus=scaffold8378_5:449:1210:- [Complete] codon-table.11	NA	4927.68	NA	NA	NA	NA	7414
DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11	39812.3	73618.8	126562	19459.6	76368	20730.9	41625.7
ED12A_GL0077137  [gene]  locus=scaffold32507_3:423:572:+ [Lack 3'-end] codon-table.11	37831.6	70487.4	NA	33247.2	22776.8	NA	23844.2
ED12A_GL0087188  [gene]  locus=scaffold16704_2:1702:3696:- [Lack 5'-end] codon-table.11	NA	9441.64	6276.95	NA	6751.16	NA	NA
ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11	55619.7	148215	89587.8	69884.8	444614	14010.3	22404.1
ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11	23597.3	43581.8	44563.8	59106.5	36417.1	11621	23396.1
ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11	29200.9	27093.6	NA	53984.9	34370	NA	5671.6
Fungitr.A0A0H5C9W2.A0A0H5C9W2_CYBJA ATP synthase subunit alpha OS=Cyberlindnera jadinii GN=atp1 PE=3 SV=1	36105.8	NA	47740.8	38002.9	54131.3	23973	NA
Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1	88901	NA	34367.6	NA	28262.8	46751.2	43482.2
HM403CO_revised_scaffold116_1_gene33180 strand:- start:8813 stop:9595 length:783 start_codon:yes stop_codon:yes gene_type:complete	NA	3666.97	NA	10520.9	4867.3	NA	4528.46
HM403CO_revised_scaffold142_2_gene34425 strand:+ start:8041 stop:9432 length:1392 start_codon:yes stop_codon:yes gene_type:complete	48788.7	53733.9	58527.1	56907.7	66860.7	31257.7	40977
HM403CO_revised_scaffold3899_2_gene43346 strand:+ start:26519 stop:27742 length:1224 start_codon:yes stop_codon:yes gene_type:complete	79404.3	194404	164836	194646	160768	9194.38	97291.2
HM414CO_combine_revised_scaffold52574_1_gene54100 strand:+ start:3 stop:368 length:366 start_codon:no stop_codon:yes gene_type:incomplete	NA	NA	NA	NA	NA	16745.7	8398.79
HM415TI_revised_scaffold27291_1_gene77074 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	18349.5	18315.3	NA	10095.7	59635.1	7985.55	11320.4
HM437CO_revised_scaffold23842_1_gene88996 strand:+ start:5906 stop:7864 length:1959 start_codon:yes stop_codon:yes gene_type:complete	6700.9	27057.2	22852.8	6635.54	12199.2	NA	8769.91
HM437CO_revised_scaffold36926_1_gene1102 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	10918	15979.6	18087.3	27574.8	18074.7	6145.8	9879.17
HM438CO_revised_scaffold45904_1_gene74669 strand:+ start:2 stop:520 length:519 start_codon:no stop_codon:no gene_type:incomplete	455947	852457	887534	238881	680526	20076.6	268344
HM466CO_revised_scaffold71503_1_gene21138 strand:+ start:1 stop:1050 length:1050 start_codon:no stop_codon:yes gene_type:incomplete	20302.9	22388.4	39758.2	NA	29806.1	NA	9570.2
HM494TI_revised_C961297_1_gene41203 strand:+ start:307 stop:522 length:216 start_codon:yes stop_codon:no gene_type:incomplete	12000.6	28320.3	149882	26503.3	45181	10642	15511.4
HM494TI_revised_scaffold22508_12_gene231958 strand:+ start:2 stop:1507 length:1506 start_codon:no stop_codon:yes gene_type:incomplete	NA	2997.66	NA	NA	NA	6837.85	8263.66
HM494TI_revised_scaffold67459_1_gene54744 strand:- start:46703 stop:47572 length:870 start_codon:yes stop_codon:yes gene_type:complete	10533.1	NA	NA	7075.96	NA	2612.89	10976.1
HM494TI_revised_scaffold75696_1_gene174760 strand:+ start:1 stop:648 length:648 start_codon:no stop_codon:yes gene_type:incomplete	NA	5123.26	NA	4806	5860.56	6958.15	NA
HT14A_GL0085213  [gene]  locus=scaffold26776_1:2:367:+ [Lack 5'-end] codon-table.11	59896.2	83623.5	22258.4	84170.8	33054.2	11423.5	29177.3
HT14A_GL0104544  [gene]  locus=scaffold8377_7:1:2925:+ [Lack both ends] codon-table.11	50175.7	59734.8	38034.9	49573.2	36415.5	NA	30529.4
HT14A_GL0106378  [gene]  locus=scaffold24973_3:20944:21483:- [Complete] codon-table.11	78040.5	124905	45530.7	239797	120873	188425	122035
HT14A_GL0126877  [gene]  locus=scaffold30044_2:2:565:- [Lack both ends] codon-table.11	10820.6	5917.87	NA	10827.4	NA	4745.74	NA
HT8A_GL0051954  [gene]  locus=scaffold34690_1:16107:16964:- [Complete] codon-table.11	8827.82	11004.2	13962.6	NA	21191.7	NA	9021.7
Human_swiss_sp|A0A075B6H9|LV469_HUMAN Immunoglobulin lambda variable 4-69 OS=Homo sapiens OX=9606 GN=IGLV4-69 PE=1 SV=1	NA	NA	NA	3554.78	NA	NA	NA
Human_swiss_sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1	22685.9	8445.74	32484	44735.9	18630.6	87079	50084.5
Human_swiss_sp|A0A0B4J1V0|HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1	12469.3	NA	14430	11568.1	NA	24864.5	13665.5
Human_swiss_sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1	NA	NA	6535.58	2524.18	NA	7149.92	6270.2
Human_swiss_sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1	131500	NA	NA	NA	NA	802629	336409
Human_swiss_sp|A0A0C4DH25|KVD20_HUMAN Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	24514.4	26565.3	120900	58613.1	43642.6	265133	127673
Human_swiss_sp|A0A0C4DH32|HV320_HUMAN Immunoglobulin heavy variable 3-20 OS=Homo sapiens OX=9606 GN=IGHV3-20 PE=3 SV=2	NA	NA	NA	NA	NA	27650.1	7767.94
Human_swiss_sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	NA	3628.77	NA	NA	NA	NA	12644.8
Human_swiss_sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3	470116	271818	225551	398658	586356	1.57471e+06	741370
Human_swiss_sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2	NA	3614.26	NA	33845.9	25509.7	NA	6256.4
Human_swiss_sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	NA	13193.8	18532.3	12085	14548.7	11982.1	17513.1
Human_swiss_sp|O14493|CLD4_HUMAN Claudin-4 OS=Homo sapiens OX=9606 GN=CLDN4 PE=1 SV=1	38985.9	13324.4	20178.5	20802.6	NA	41700.1	17534.6
Human_swiss_sp|O14638|ENPP3_HUMAN Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 OS=Homo sapiens OX=9606 GN=ENPP3 PE=1 SV=2	26916.9	12425.1	19551.9	19805.3	16708.2	24113.2	22609.6
Human_swiss_sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2	7555.33	4817.75	6327.88	6504.33	5450.93	3745.24	5682.11
Human_swiss_sp|O15162|PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	NA	1461.94	5353.55	2724.91	3039.69	5050.59	3461.26
Human_swiss_sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3	NA	28919.5	13189.3	7591.06	5189.21	8359.06	7226.9
Human_swiss_sp|O15263|DFB4A_HUMAN Beta-defensin 4A OS=Homo sapiens OX=9606 GN=DEFB4A PE=1 SV=1	NA	NA	NA	13417.6	NA	NA	14427.2
Human_swiss_sp|O15393|TMPS2_HUMAN Transmembrane protease serine 2 OS=Homo sapiens OX=9606 GN=TMPRSS2 PE=1 SV=3	11272.2	NA	6052.02	NA	4387.15	5135.68	5145.01
Human_swiss_sp|O15484|CAN5_HUMAN Calpain-5 OS=Homo sapiens OX=9606 GN=CAPN5 PE=1 SV=2	5244.08	4973.91	12997.7	5606.38	7386.35	12296.1	13210.2
Human_swiss_sp|O15496|PA2GX_HUMAN Group 10 secretory phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G10 PE=1 SV=3	NA	NA	5844.08	5983.8	NA	3027.35	6510.66
Human_swiss_sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6	NA	NA	8509.2	NA	NA	4316.76	4402.26
Human_swiss_sp|O43451|MGA_HUMAN Maltase-glucoamylase, intestinal OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=5	113975	213837	230694	153106	84378.9	134547	186031
Human_swiss_sp|O43653|PSCA_HUMAN Prostate stem cell antigen OS=Homo sapiens OX=9606 GN=PSCA PE=1 SV=2	NA	3411.64	2455.51	NA	NA	NA	2377.57
Human_swiss_sp|O43895|XPP2_HUMAN Xaa-Pro aminopeptidase 2 OS=Homo sapiens OX=9606 GN=XPNPEP2 PE=1 SV=3	449891	573763	412728	447675	683020	1.87029e+06	853708
Human_swiss_sp|O60814|H2B1K_HUMAN Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3	NA	7705.58	12034.9	NA	5135.63	2980.94	9119.07
