Protein.Group	b14_27
160704339-stool1_revised_C1363641_1_gene142089 strand:+  start:3 stop:1241 length:1239 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	15962.7
195103.CPF_1048 [Complete]:-  codon-table.11	385942
340101.Vvad_PD0976 [Complete]:-  codon-table.11	17624.8
411470.RUMGNA_02682 [Complete]:-  codon-table.11	15309.4
445972.ANACOL_04358 [Complete]:-  codon-table.11	29041.3
457421.CBFG_05949 [Complete]:-  codon-table.11	74412.5
467705.SGO_1968 [Complete]:-  codon-table.11	42074.5
473819.BIFDEN_02183 [Complete]:-  codon-table.11	17388.6
500635.MITSMUL_03099 [Complete]:-  codon-table.11	13665.1
508703490-stool1_revised_scaffold22466_1_gene94327 strand:-  start:214 stop:1548 length:1335 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	25913.5
575611.HMPREF0649_01290 [Complete]:-  codon-table.11	2427.42
585501.HMPREF6123_1051 [Complete]:-  codon-table.11	67366.5
591001.Acfer_1512 [Complete]:-  codon-table.11	21592.5
763435843-stool1_revised_scaffold13751_1_gene1966 strand:-  start:1048 stop:2976 length:1929 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	14693.2
763496533-stool2_revised_C1130836_1_gene41026 strand:-  start:1 stop:924 length:924 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	29008.6
763577454-stool1_revised_C1011481_1_gene183717 strand:-  start:311 stop:727 length:417 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	37229.7
763820215-stool1_revised_C751164_1_gene6323 strand:+  start:983 stop:1711 length:729 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	22313.2
763860675-stool1_revised_C1092989_1_gene136767 strand:+  start:471 stop:788 length:318 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	12279.2
763860675-stool1_revised_scaffold55788_1_gene56140 strand:-  start:2 stop:1066 length:1065 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	10632.4
763901136-stool1_revised_C1052885_1_gene40766 strand:-  start:538 stop:822 length:285 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	6576.52
764042746-stool2_revised_C474634_1_gene25976 strand:+  start:122 stop:427 length:306 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	30145.6
764143897-stool1_revised_scaffold24180_1_gene160122 strand:+  start:2 stop:1003 length:1002 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	648785
764184357-stool1_revised_scaffold9152_1_gene56916 strand:-  start:1526 stop:3733 length:2208 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11	32621.8
764669880-stool1_revised_C437453_1_gene44917 strand:-  start:872 stop:1504 length:633 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	41589.8
765701615-stool1_revised_C1225298_1_gene174302 strand:-  start:1 stop:507 length:507 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	28674
765701615-stool1_revised_C1367528_1_gene217883 strand:+  start:1 stop:1257 length:1257 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11	16080.8
765701615-stool1_revised_C1367806_1_gene31727 strand:-  start:2 stop:427 length:426 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11	10411.1
765701615-stool1_revised_scaffold47263_3_gene161730 strand:+  start:1184 stop:2356 length:1173 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11	39404.9
DLM007_GL0041666  [gene]  locus=scaffold45367_1:2677:5331:- [Lack 5'-end] codon-table.11	31168.3
DLM013_GL0044983  [gene]  locus=scaffold40429_3:1349:2581:+ [Complete] codon-table.11	54684.7
DLM018_GL0012508  [gene]  locus=scaffold3733_2:972:2219:+ [Complete] codon-table.11	105372
DLM019_GL0082439  [gene]  locus=scaffold315_1:918:2042:+ [Complete] codon-table.11	24129.5
DOF010_GL0010114  [gene]  locus=scaffold25322_5:1:1146:+ [Lack 5'-end] codon-table.11	10653
DOM001_GL0092950  [gene]  locus=scaffold34794_8:3510:4757:+ [Complete] codon-table.11	10952.5
DOM005_GL0004772  [gene]  locus=scaffold91_6:21891:22553:+ [Complete] codon-table.11	7807.54
DOM005_GL0023957  [gene]  locus=scaffold12453_6:835:1902:- [Complete] codon-table.11	15866.2
DOM005_GL0032002  [gene]  locus=scaffold37_1:2961:4859:+ [Complete] codon-table.11	22476.2
DOM012_GL0033406  [gene]  locus=scaffold36877_2:1:474:- [Lack 3'-end] codon-table.11	414277
DOM026_GL0034732  [gene]  locus=scaffold26149_7:3:974:+ [Lack 5'-end] codon-table.11	39812.3
ED12A_GL0077137  [gene]  locus=scaffold32507_3:423:572:+ [Lack 3'-end] codon-table.11	37831.6
ED13A_GL0021636  [gene]  locus=scaffold1322_2:1:555:- [Lack 3'-end] codon-table.11	55619.7
ED15A_GL0082445  [gene]  locus=scaffold12893_1:12785:13981:- [Complete] codon-table.11	23597.3
ED20A_GL0039802  [gene]  locus=scaffold17724_1:2:775:+ [Lack 5'-end] codon-table.11	29200.9
Fungitr.A0A0H5C9W2.A0A0H5C9W2_CYBJA ATP synthase subunit alpha OS=Cyberlindnera jadinii GN=atp1 PE=3 SV=1	36105.8
Fungitr.E7NKC5.E7NKC5_YEASO Ubi4p (Fragment) OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3014 PE=4 SV=1	88901
HM403CO_revised_scaffold142_2_gene34425 strand:+ start:8041 stop:9432 length:1392 start_codon:yes stop_codon:yes gene_type:complete	48788.7
HM403CO_revised_scaffold3899_2_gene43346 strand:+ start:26519 stop:27742 length:1224 start_codon:yes stop_codon:yes gene_type:complete	79404.3
HM415TI_revised_scaffold27291_1_gene77074 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	18349.5
HM437CO_revised_scaffold23842_1_gene88996 strand:+ start:5906 stop:7864 length:1959 start_codon:yes stop_codon:yes gene_type:complete	6700.9
HM437CO_revised_scaffold36926_1_gene1102 strand:+ start:2 stop:583 length:582 start_codon:no stop_codon:no gene_type:incomplete	10918
HM438CO_revised_scaffold45904_1_gene74669 strand:+ start:2 stop:520 length:519 start_codon:no stop_codon:no gene_type:incomplete	455947
HM466CO_revised_scaffold71503_1_gene21138 strand:+ start:1 stop:1050 length:1050 start_codon:no stop_codon:yes gene_type:incomplete	20302.9
HM494TI_revised_C961297_1_gene41203 strand:+ start:307 stop:522 length:216 start_codon:yes stop_codon:no gene_type:incomplete	12000.6
HM494TI_revised_scaffold67459_1_gene54744 strand:- start:46703 stop:47572 length:870 start_codon:yes stop_codon:yes gene_type:complete	10533.1
HT14A_GL0085213  [gene]  locus=scaffold26776_1:2:367:+ [Lack 5'-end] codon-table.11	59896.2
HT14A_GL0104544  [gene]  locus=scaffold8377_7:1:2925:+ [Lack both ends] codon-table.11	50175.7
HT14A_GL0106378  [gene]  locus=scaffold24973_3:20944:21483:- [Complete] codon-table.11	78040.5
HT14A_GL0126877  [gene]  locus=scaffold30044_2:2:565:- [Lack both ends] codon-table.11	10820.6
HT8A_GL0051954  [gene]  locus=scaffold34690_1:16107:16964:- [Complete] codon-table.11	8827.82
MH0001_GL0006365  [gene]  locus=scaffold16894_2:4140:6275:- [Complete] codon-table.11	20138.2
MH0001_GL0008109  [gene]  locus=scaffold1264_2:7078:8340:- [Complete] codon-table.11	20331
MH0001_GL0017996  [gene]  locus=scaffold221_3:6671:9112:- [Complete] codon-table.11	33540.5
MH0001_GL0020755  [gene]  locus=scaffold17758_1:840:1856:+ [Complete] codon-table.11	6525.58
MH0003_GL0003148  [gene]  locus=scaffold31787_1:14836:18108:- [Complete] codon-table.11	21200.4
MH0004_GL0011122  [gene]  locus=scaffold23472_1:17113:17589:+ [Complete] codon-table.11	43642.2
MH0005_GL0013865  [gene]  locus=scaffold167_11:1050:1319:+ [Complete] codon-table.11	32325.3
MH0005_GL0017606  [gene]  locus=scaffold6966_1:8057:9790:- [Complete] codon-table.11	75658.1
MH0005_GL0021441  [gene]  locus=scaffold4384_2:33167:36454:- [Complete] codon-table.11	14738.1
MH0006_GL0032494  [gene]  locus=scaffold60560_2:151:1089:+ [Complete] codon-table.11	104367
MH0006_GL0121937  [gene]  locus=scaffold117095_4:7822:8802:+ [Complete] codon-table.11	49655.4
MH0006_GL0131422  [gene]  locus=scaffold117722_1:142:528:- [Complete] codon-table.11	31778.7
MH0006_GL0137136  [gene]  locus=scaffold189532_2:2489:4219:- [Complete] codon-table.11	23474.1
MH0006_GL0181988  [gene]  locus=scaffold189532_3:32877:35060:- [Complete] codon-table.11	8133.94
MH0006_GL0199332  [gene]  locus=scaffold26721_1:15855:16511:+ [Complete] codon-table.11	319176
MH0007_GL0003438  [gene]  locus=scaffold60316_8:2889:3995:- [Complete] codon-table.11	89564
MH0008_GL0040329  [gene]  locus=scaffold10806_5:16383:17471:+ [Complete] codon-table.11	11235.1
MH0009_GL0015794  [gene]  locus=scaffold4312_1:2:1318:+ [Lack 5'-end] codon-table.11	18176.8
MH0011_GL0000961  [gene]  locus=scaffold17229_1:3:1049:+ [Lack 5'-end] codon-table.11	21254.5
MH0011_GL0097746  [gene]  locus=scaffold13877_3:15343:16863:+ [Complete] codon-table.11	392733
MH0012_GL0008469  [gene]  locus=scaffold3920_1:589:1371:- [Complete] codon-table.11	26666.2
MH0012_GL0101972  [gene]  locus=scaffold133838_1:3941:5314:+ [Complete] codon-table.11	246122
MH0012_GL0114975  [gene]  locus=scaffold23230_3:16987:18192:+ [Complete] codon-table.11	381008
MH0012_GL0135518  [gene]  locus=scaffold88748_1:302:502:- [Complete] codon-table.11	44909.1
MH0012_GL0144040  [gene]  locus=scaffold3418_3:9639:10358:- [Complete] codon-table.11	100186
MH0012_GL0193636  [gene]  locus=scaffold991_3:17079:18740:- [Complete] codon-table.11	29394.2
MH0012_GL0205813  [gene]  locus=scaffold24325_3:12368:13369:- [Complete] codon-table.11	6590.71
MH0014_GL0027038  [gene]  locus=scaffold8815_1:425:1180:- [Complete] codon-table.11	77659.1
MH0015_GL0033518  [gene]  locus=scaffold13241_16:411:1832:- [Complete] codon-table.11	12613.1
MH0018_GL0003216  [gene]  locus=scaffold7107_1:3501:6698:+ [Complete] codon-table.11	19011.8
MH0019_GL0005571  [gene]  locus=scaffold26662_7:2:301:+ [Lack 5'-end] codon-table.11	6166.19
MH0020_GL0031208  [gene]  locus=scaffold23813_9:204:3755:- [Complete] codon-table.11	98585.6
MH0021_GL0021757  [gene]  locus=scaffold57271_5:1798:2523:- [Complete] codon-table.11	76210.5
MH0021_GL0032172  [gene]  locus=scaffold43479_2:47:796:- [Complete] codon-table.11	71223.1
MH0023_GL0022168  [gene]  locus=scaffold9839_2:270:2297:+ [Complete] codon-table.11	6571.31
MH0035_GL0038031  [gene]  locus=scaffold344_1:5173:5478:- [Complete] codon-table.11	26998.4
MH0035_GL0049006  [gene]  locus=scaffold418_1:12366:13286:- [Complete] codon-table.11	68573.5
MH0037_GL0013923  [gene]  locus=scaffold19589_2:15494:16831:+ [Complete] codon-table.11	414574
MH0039_GL0044146  [gene]  locus=scaffold9172_1:2965:5502:- [Complete] codon-table.11	17241.3
MH0039_GL0047513  [gene]  locus=scaffold9830_1:9055:11184:- [Complete] codon-table.11	27814.4
MH0041_GL0016776  [gene]  locus=scaffold17723_9:3685:4065:+ [Complete] codon-table.11	25687.6
MH0043_GL0013824  [gene]  locus=scaffold49959_1:3:521:+ [Lack both ends] codon-table.11	22453.1
MH0046_GL0038096  [gene]  locus=scaffold8379_1:11142:12416:- [Complete] codon-table.11	31303.5
MH0047_GL0010726  [gene]  locus=scaffold623_5:26118:27278:- [Complete] codon-table.11	71170.5
MH0047_GL0036394  [gene]  locus=scaffold10973_2:6796:7989:- [Complete] codon-table.11	1.73047e+06
MH0055_GL0042560  [gene]  locus=scaffold2132_24:2:421:+ [Lack 5'-end] codon-table.11	8525.02
MH0055_GL0056634  [gene]  locus=scaffold23420_4:160:714:- [Complete] codon-table.11	5703.09
MH0055_GL0059787  [gene]  locus=scaffold14603_4:3560:3793:+ [Complete] codon-table.11	79443.4
MH0057_GL0000596  [gene]  locus=scaffold21756_1:10413:14699:- [Complete] codon-table.11	8541.34
MH0057_GL0001908  [gene]  locus=scaffold4543_2:18886:21912:- [Complete] codon-table.11	59023.2
MH0057_GL0016580  [gene]  locus=scaffold7813_2:70624:71892:- [Complete] codon-table.11	40815.2
MH0057_GL0018775  [gene]  locus=scaffold3775_2:10396:12717:- [Complete] codon-table.11	31722.9
MH0061_GL0042306  [gene]  locus=scaffold27479_1:8666:9847:+ [Complete] codon-table.11	33091.4
MH0067_GL0024690  [gene]  locus=scaffold27079_1:164:550:+ [Complete] codon-table.11	37641.8
MH0069_GL0051054  [gene]  locus=scaffold6973_1:299:856:+ [Complete] codon-table.11	21950.5
MH0069_GL0062737  [gene]  locus=scaffold7366_1:1443:1703:+ [Lack 3'-end] codon-table.11	13482.6
MH0069_GL0065137  [gene]  locus=scaffold4867_1:1:246:+ [Lack 5'-end] codon-table.11	234720
MH0069_GL0078305  [gene]  locus=scaffold16771_2:17758:18186:- [Complete] codon-table.11	18206.5
MH0071_GL0042226  [gene]  locus=scaffold29869_3:1949:2392:- [Complete] codon-table.11	99058.1
MH0074_GL0068292  [gene]  locus=scaffold41595_2:24801:26327:- [Complete] codon-table.11	10565.6
MH0076_GL0052556  [gene]  locus=scaffold44954_1:3333:3950:+ [Complete] codon-table.11	52957
MH0077_GL0035462  [gene]  locus=scaffold44732_1:3:260:+ [Lack 5'-end] codon-table.11	20282.3
MH0088_GL0047812  [gene]  locus=scaffold61645_3:3:866:- [Lack 5'-end] codon-table.11	18559.4
MH0090_GL0002748  [gene]  locus=scaffold72457_1:38495:38740:+ [Complete] codon-table.11	17999.1
MH0092_GL0040972  [gene]  locus=C1457098_1:146:679:+ [Complete] codon-table.11	20927
MH0094_GL0075871  [gene]  locus=scaffold33864_1:2:457:- [Lack 3'-end] codon-table.11	26856.2
MH0096_GL0013876  [gene]  locus=scaffold16120_3:6442:7896:+ [Complete] codon-table.11	65571.3
MH0100_GL0114735  [gene]  locus=scaffold52094_9:1210:3852:- [Complete] codon-table.11	29924.3
MH0100_GL0127516  [gene]  locus=scaffold25263_24:212:730:+ [Complete] codon-table.11	292568
MH0100_GL0129471  [gene]  locus=scaffold8032_1:959:2164:- [Complete] codon-table.11	308198
MH0102_GL0062733  [gene]  locus=scaffold51879_3:66920:69154:+ [Complete] codon-table.11	36726.3
MH0102_GL0131793  [gene]  locus=scaffold18891_5:120:374:- [Complete] codon-table.11	21283.5
MH0103_GL0067022  [gene]  locus=scaffold22849_3:11:1441:+ [Complete] codon-table.11	7214.02
MH0107_GL0053514  [gene]  locus=scaffold24612_14:875:1309:- [Complete] codon-table.11	11933.9
MH0107_GL0113046  [gene]  locus=scaffold98830_1:24346:25989:- [Complete] codon-table.11	22260.9
MH0110_GL0025297  [gene]  locus=scaffold1370_2:7987:10617:+ [Complete] codon-table.11	295934
MH0110_GL0034529  [gene]  locus=scaffold54626_5:12050:13447:+ [Complete] codon-table.11	24165.6
MH0113_GL0003321  [gene]  locus=scaffold23972_30:808:2697:- [Complete] codon-table.11	131323
MH0113_GL0037816  [gene]  locus=scaffold75803_3:2715:5969:+ [Complete] codon-table.11	193128
MH0113_GL0085823  [gene]  locus=scaffold13666_8:147:1220:- [Complete] codon-table.11	11498.5
MH0116_GL0116313  [gene]  locus=scaffold1120_25_2:29:736:- [Complete] codon-table.11	7556.52
MH0122_GL0076627  [gene]  locus=scaffold36241_4:686:2254:- [Complete] codon-table.11	14669.9
MH0124_GL0004871  [gene]  locus=scaffold98603_1:25539:28238:+ [Complete] codon-table.11	68263.6
MH0124_GL0059575  [gene]  locus=scaffold81527_4:2642:3334:+ [Complete] codon-table.11	13863.6
MH0124_GL0143174  [gene]  locus=scaffold80274_6:11485:13302:+ [Complete] codon-table.11	113407
MH0125_GL0073399  [gene]  locus=scaffold1078_1:3781:8082:+ [Complete] codon-table.11	90049.4
MH0130_GL0067967  [gene]  locus=scaffold35377_1:546:2063:- [Complete] codon-table.11	18812.6
MH0130_GL0077888  [gene]  locus=scaffold1658_1:6472:6837:+ [Complete] codon-table.11	6026.06
MH0131_GL0041219  [gene]  locus=scaffold20378_10:1233:2561:- [Complete] codon-table.11	42833.9
MH0131_GL0089619  [gene]  locus=scaffold79399_1:1:525:+ [Lack both ends] codon-table.11	267545
MH0131_GL0110658  [gene]  locus=scaffold20572_3:429:1700:- [Complete] codon-table.11	217248
MH0131_GL0135871  [gene]  locus=scaffold43_8:114:2027:+ [Complete] codon-table.11	41167.5
MH0131_GL0154213  [gene]  locus=scaffold56856_2:309:1688:+ [Complete] codon-table.11	56935.1
MH0135_GL0082397  [gene]  locus=scaffold8650_2:28:1614:- [Complete] codon-table.11	48573.4
MH0135_GL0099849  [gene]  locus=scaffold12189_21:953:2287:+ [Complete] codon-table.11	93729.4
MH0136_GL0083951  [gene]  locus=scaffold4214_4:2248:3681:+ [Complete] codon-table.11	84780.4
MH0140_GL0038860  [gene]  locus=scaffold81140_2:42240:44354:- [Complete] codon-table.11	20153.1
MH0140_GL0046792  [gene]  locus=scaffold51631_2:2:298:+ [Lack 5'-end] codon-table.11	59100.9
MH0141_GL0094531  [gene]  locus=scaffold4355_2:2373:3755:+ [Complete] codon-table.11	928650
MH0143_GL0009130  [gene]  locus=scaffold8249_1:3610:4782:+ [Complete] codon-table.11	7501.4
MH0143_GL0060465  [gene]  locus=scaffold15227_4:1087:1626:+ [Complete] codon-table.11	8397.55
MH0143_GL0064120  [gene]  locus=scaffold26663_6:746:2155:- [Complete] codon-table.11	148247
MH0143_GL0076916  [gene]  locus=scaffold32491_12:881:1297:+ [Complete] codon-table.11	174170
MH0143_GL0159952  [gene]  locus=scaffold4780_12:4130:4822:+ [Complete] codon-table.11	53073
MH0144_GL0085682  [gene]  locus=scaffold93115_8:2254:3084:- [Complete] codon-table.11	81380.5
MH0147_GL0020541  [gene]  locus=scaffold3895_10:193:546:- [Complete] codon-table.11	59681.9
MH0147_GL0070598  [gene]  locus=scaffold37410_6:34:1656:- [Complete] codon-table.11	207793
MH0149_GL0085441  [gene]  locus=scaffold3870_17:11427:12134:+ [Complete] codon-table.11	65619.1
MH0151_GL0025677  [gene]  locus=scaffold12006_1:8470:9759:- [Complete] codon-table.11	56813.6
MH0152_GL0013968  [gene]  locus=scaffold1212_12:667:1602:+ [Complete] codon-table.11	19655.4
MH0152_GL0080942  [gene]  locus=scaffold33886_22:158:1711:+ [Complete] codon-table.11	46411.5
MH0157_GL0038338  [gene]  locus=scaffold48715_12:299:898:- [Complete] codon-table.11	12394
MH0157_GL0094076  [gene]  locus=scaffold20874_19:1437:2270:- [Complete] codon-table.11	11803.9
MH0157_GL0125105  [gene]  locus=scaffold30650_18:3:548:+ [Lack both ends] codon-table.11	113128
MH0164_GL0060041  [gene]  locus=scaffold9392_14:7067:7618:+ [Complete] codon-table.11	62382.2
MH0181_GL0002451  [gene]  locus=scaffold75612_1:2529:6860:- [Complete] codon-table.11	27975.7
MH0185_GL0020303  [gene]  locus=scaffold37503_7:2:961:+ [Lack 5'-end] codon-table.11	10331.5
MH0185_GL0062621  [gene]  locus=scaffold14438_4:3:1481:+ [Lack 5'-end] codon-table.11	79132.7
MH0187_GL0088968  [gene]  locus=C1138128_1:874:1821:+ [Complete] codon-table.11	42522.6
MH0188_GL0088680  [gene]  locus=scaffold57666_1:1:1902:+ [Lack 5'-end] codon-table.11	73548.9
MH0188_GL0089797  [gene]  locus=scaffold28458_1:16536:17315:+ [Complete] codon-table.11	10557
MH0189_GL0011618  [gene]  locus=scaffold52067_2:2598:3989:+ [Complete] codon-table.11	45166.7
MH0192_GL0022877  [gene]  locus=scaffold46081_5:330:962:- [Lack 5'-end] codon-table.11	73566.6
MH0192_GL0026361  [gene]  locus=scaffold23855_5:291:803:- [Lack 5'-end] codon-table.11	22709.7
MH0193_GL0012773  [gene]  locus=scaffold35712_4:4860:8516:+ [Complete] codon-table.11	238113
MH0193_GL0057191  [gene]  locus=scaffold35935_9:890:1108:+ [Complete] codon-table.11	4073.37
MH0193_GL0168892  [gene]  locus=scaffold13802_1:36752:37963:+ [Complete] codon-table.11	47637.6
MH0193_GL0185667  [gene]  locus=scaffold47270_2:28675:29685:+ [Complete] codon-table.11	30373
MH0195_GL0143964  [gene]  locus=scaffold11719_17:10101:10391:- [Complete] codon-table.11	1462.28
MH0196_GL0115268  [gene]  locus=scaffold132441_1:2140:4731:- [Complete] codon-table.11	45035.3
MH0197_GL0112220  [gene]  locus=scaffold16482_3:231:632:- [Complete] codon-table.11	60577.8
MH0200_GL0196781  [gene]  locus=scaffold24153_1:1:723:+ [Lack 5'-end] codon-table.11	3956.33
MH0203_GL0045149  [gene]  locus=scaffold151039_1:45413:46759:- [Complete] codon-table.11	318247
MH0203_GL0205096  [gene]  locus=scaffold72276_2:5456:7600:- [Lack 5'-end] codon-table.11	37231.3
MH0204_GL0076954  [gene]  locus=scaffold82546_1:3571:4095:+ [Lack 3'-end] codon-table.11	145292
MH0206_GL0111989  [gene]  locus=scaffold2752_2:1415:2989:+ [Complete] codon-table.11	1819.59
MH0211_GL0027677  [gene]  locus=scaffold114_4:50483:52186:+ [Complete] codon-table.11	4553.89
MH0212_GL0006589  [gene]  locus=scaffold36994_5:3033:4376:- [Complete] codon-table.11	355526
MH0212_GL0084820  [gene]  locus=scaffold364_4:5504:6334:+ [Complete] codon-table.11	29385.1
MH0217_GL0160322  [gene]  locus=scaffold44939_4:446:988:- [Complete] codon-table.11	368869
MH0222_GL0071646  [gene]  locus=scaffold43141_12:2826:6095:+ [Complete] codon-table.11	41998.4
MH0224_GL0070636  [gene]  locus=scaffold862_4:237:2015:+ [Complete] codon-table.11	13541.8
MH0224_GL0112161  [gene]  locus=scaffold4914_6:3:824:+ [Lack both ends] codon-table.11	15003.9
MH0227_GL0015156  [gene]  locus=scaffold9648_1:595:2424:- [Complete] codon-table.11	145998
MH0229_GL0090301  [gene]  locus=scaffold25139_1:689:1183:+ [Lack 3'-end] codon-table.11	911924
MH0230_GL0070365  [gene]  locus=scaffold40295_5:11148:13235:+ [Complete] codon-table.11	652297
MH0233_GL0003750  [gene]  locus=scaffold69290_2:5167:6303:+ [Complete] codon-table.11	20488.4
MH0233_GL0105808  [gene]  locus=scaffold55138_2:2:592:- [Lack both ends] codon-table.11	13754.4
MH0238_GL0067109  [gene]  locus=scaffold100632_1:7:1101:- [Complete] codon-table.11	36154.7
MH0239_GL0065227  [gene]  locus=scaffold41431_1:24:617:+ [Complete] codon-table.11	12594.2
MH0243_GL0005283  [gene]  locus=scaffold40367_3:1487:2929:+ [Lack 3'-end] codon-table.11	33817.1
MH0250_GL0261474  [gene]  locus=scaffold52591_13:817:1797:- [Complete] codon-table.11	17839.9
MH0250_GL0262281  [gene]  locus=scaffold149581_1:619:1602:- [Complete] codon-table.11	17256.4
MH0251_GL0072568  [gene]  locus=scaffold29409_2:3986:5398:+ [Complete] codon-table.11	117769
MH0251_GL0121713  [gene]  locus=scaffold3056_1:2562:3755:+ [Complete] codon-table.11	234519
MH0252_GL0039289  [gene]  locus=scaffold128261_2:8627:8986:- [Complete] codon-table.11	42872.3
MH0252_GL0125144  [gene]  locus=scaffold138210_1:15988:18630:+ [Complete] codon-table.11	24664.9
MH0252_GL0184446  [gene]  locus=scaffold12902_28:7380:8756:+ [Complete] codon-table.11	17711.6
MH0257_GL0093519  [gene]  locus=scaffold91802_1:604:1827:- [Complete] codon-table.11	7133.28
MH0259_GL0120051  [gene]  locus=scaffold46595_1:729:1877:- [Complete] codon-table.11	92393.4
MH0259_GL0139137  [gene]  locus=scaffold57712_10:321:1547:+ [Lack 3'-end] codon-table.11	14326
MH0265_GL0002602  [gene]  locus=scaffold25056_2:334:4146:+ [Complete] codon-table.11	55732.1
MH0267_GL0117850  [gene]  locus=scaffold114226_1:2:1741:+ [Lack 5'-end] codon-table.11	129896
MH0267_GL0184495  [gene]  locus=scaffold85515_2:3:707:- [Lack both ends] codon-table.11	22231.4
MH0268_GL0082510  [gene]  locus=scaffold15093_3:8573:10177:- [Complete] codon-table.11	33706.8
MH0270_GL0022394  [gene]  locus=scaffold76415_3:2:1897:+ [Lack 5'-end] codon-table.11	29007.7
MH0270_GL0058843  [gene]  locus=scaffold19022_13:1237:1929:+ [Lack 3'-end] codon-table.11	84098.4
MH0271_GL0126954  [gene]  locus=scaffold65880_1:127:993:- [Complete] codon-table.11	100567
MH0274_GL0006991  [gene]  locus=scaffold93964_1:9195:10727:+ [Complete] codon-table.11	46807.8
MH0274_GL0054087  [gene]  locus=scaffold82707_1:1276:2319:- [Complete] codon-table.11	14001
MH0274_GL0147438  [gene]  locus=scaffold82492_6:928:2403:- [Complete] codon-table.11	464999
MH0275_GL0129479  [gene]  locus=scaffold49198_4:1155:2504:+ [Lack 3'-end] codon-table.11	19515.9
MH0276_GL0157470  [gene]  locus=scaffold28258_4:15351:16535:- [Complete] codon-table.11	26899.6
MH0276_GL0224587  [gene]  locus=scaffold86842_1:9899:10684:+ [Complete] codon-table.11	15555.7
MH0281_GL0038819  [gene]  locus=scaffold19484_5:2:514:- [Lack 3'-end] codon-table.11	14014.4
